,Context,Conext_translation
113,A large crowd is seen sitting in front of a pool followed by several shots of two people diving into a pool.,Se ve a una gran multitud sentada frente a una piscina seguida de varias tomas de dos personas zambulléndose en una piscina.
114,A large crowd is seen sitting in front of a pool followed by several shots of two people diving into a pool.,Se ve a una gran multitud sentada frente a una piscina seguida de varias tomas de dos personas zambulléndose en una piscina.
115,More shots are shown of divers performing impressive stunts into the pool and ends with them walking away and their score being shown.,Se muestran más tomas de buzos que realizan acrobacias impresionantes en la piscina y terminan con ellos alejándose y mostrando su puntuación.
116,A woman is standing up brushing her hair.,Una mujer está de pie cepillándose el pelo.
117,A woman is standing up brushing her hair.,Una mujer está de pie cepillándose el pelo.
118,She starts dancing while brushing her hair.,Empieza a bailar mientras se cepilla el pelo.
119,She starts dancing while brushing her hair.,Empieza a bailar mientras se cepilla el pelo.
120,A woman is brushing her long red hair and flipping her hair from side to side while doing so.,Una mujer se cepilla el pelo largo y rojo y se mueve el pelo de lado a lado mientras lo hace.
121,A man takes off his glasses in front of the camera.,Un hombre se quita las gafas frente a la cámara.
122,He cleans a contact lens in the palm of his hand.,Limpia una lente de contacto en la palma de su mano.
123,He cleans a contact lens in the palm of his hand.,Limpia una lente de contacto en la palma de su mano.
124,A man is seen smiling to the camera and taking off his glasses.,Se ve a un hombre sonriendo a la cámara y quitándose las gafas.
125,A close up of contacts are shown as well as container of liquid.,Se muestra un primer plano de los contactos y un recipiente con líquido.
126,A couple is seen performing a tango routine with one another in a small room.,Se ve a una pareja realizando una rutina de tango en una habitación pequeña.
127,A couple is seen performing a tango routine with one another in a small room.,Se ve a una pareja realizando una rutina de tango en una habitación pequeña.
128,They start to run off and everyone is sneaking around trying to catch and shoot other people without getting caught.,Empiezan a salir corriendo y todos se escabullen tratando de atrapar y disparar a otras personas sin que los atrapen.
129,"The field they are playing on is pretty cool, it has a lot of different hiding places.","El campo en el que están jugando es bastante bueno, tiene muchos escondites diferentes."
130,A large group of men in uniform are gathered around to play some paintball.,Un gran grupo de hombres uniformados está reunido para jugar paintball.
131,He then brushes through his hair with a dog in frame and shows off his poofy hair.,Luego se cepilla el pelo con un perro en el marco y muestra su pelo esponjoso.
132,A man walks in front of the camera.,Un hombre camina frente a la cámara.
133,She is given a long pole to hold.,Le dan un palo largo para que lo sostenga.
134,18 Someone is lifting the pinata.,18 Alguien está levantando la piñata.
135,We see a little girl at a party hitting a pinata.,Vemos a una niña en una fiesta golpeando una piñata.
136,A little girl is standing in a circle of people.,Una niña está de pie en un círculo de personas.
137,A man is holding a harmonica.,Un hombre sostiene una armónica.
138,He is standing talking to the camera.,Está de pie hablando con la cámara.
139,He is standing talking to the camera.,Está de pie hablando con la cámara.
140,A man wearing a hat in standing in a workshop with a harmonica in hand.,Un hombre con sombrero de pie en un taller con una armónica en la mano.
141,He talks and he shows how to form your mouth so you can play the harmonica.,Habla y muestra cómo formar tu boca para que puedas tocar la armónica.
142,He starts to play with his eyes closed and he seems to be really intensely into playing his music.,Empieza a tocar con los ojos cerrados y parece que le gusta mucho tocar su música.
143,Someone is shown into a cabin on the escape ship.,Se muestra a alguien en una cabina en la nave de escape.
144,He glances around and picks up a goblet.,Mira a su alrededor y toma una copa.
145,Someone walks off with someone.,Alguien se marcha con alguien.
146,Crowds trudge along the Nampan Plateau.,Las multitudes caminan penosamente por la meseta de Nampan.
147,Someone walks off with someone.,Alguien se marcha con alguien.
148,Among them are someone and his family.,Entre ellos se encuentran alguien y su familia.
149,They stop and look around to see a gigantic tsunami heading for the coastline.,Se detienen y miran a su alrededor para ver un gigantesco tsunami que se dirige hacia la costa.
150,He glances around and picks up a goblet.,Mira a su alrededor y toma una copa.
151,Crowds trudge along the Nampan Plateau.,Las multitudes caminan penosamente por la meseta de Nampan.
152,We see men walking down the street and a skateboarder fall.,Vemos hombres caminando por la calle y caer un patinador.
153,The club lights flash and a band plays music as people dance.,Las luces del club parpadean y una banda toca música mientras la gente baila.
154,A man jumps over stairs and runs into the camera.,Un hombre salta escaleras y corre hacia la cámara.
155,We see club kids and skateboarders with title screens.,Vemos a los niños del club y a los patinadores con pantallas de título.
156,We see a man wave and another on a bull horn.,Vemos a un hombre saludar y otro en un cuerno de toro.
157,We see men skateboard down a street and stand around in groups.,Vemos hombres en patineta por una calle y se paran en grupos.
158,A man falls and another runs into the camera.,Un hombre cae y otro corre hacia la cámara.
159,We see men skateboard down a street and stand around in groups.,Vemos hombres en patineta por una calle y se paran en grupos.
160,The club lights flash and a band plays music as people dance.,Las luces del club parpadean y una banda toca música mientras la gente baila.
161,A man jumps over stairs and runs into the camera.,Un hombre salta escaleras y corre hacia la cámara.
162,The club lights flash and a band plays music as people dance.,Las luces del club parpadean y una banda toca música mientras la gente baila.
163,There are four young men and women rollerblading on a street with lots of trees.,Hay cuatro hombres y mujeres jóvenes patinando en una calle con muchos árboles.
164,Two people are doing figure eights on a bridge as they roller blade.,Dos personas hacen la figura de ocho en un puente mientras patinan.
165,There are some men rollerblading through streets at very high speed.,Hay algunos hombres patinando por las calles a muy alta velocidad.
166,One man jumps over a chained sidewalk while rollerblading.,Un hombre salta sobre una acera encadenada mientras patina.
167,"People are rollerblading through the city, going down the stairs and even on sidewalks.","La gente anda en patines por la ciudad, bajando las escaleras e incluso por las aceras."
168,One man leaps over a wall while rollerblading.,Un hombre salta una pared mientras patina.
169,There are some people competing in a rollerblading competition.,Hay algunas personas que compiten en una competencia de patinaje.
170,Several people are rollerblading on the sidewalk.,Varias personas patinan en la acera.
171,One man jumps over a chained sidewalk while rollerblading.,Un hombre salta sobre una acera encadenada mientras patina.
172,A couple is rollerblading on a sidewalk and another man is jumping over a barricade onto a sidewalk.,Una pareja patina en una acera y otro hombre salta una barricada hacia una acera.
173,Two men are rollerblading on a sidewalk of a quiet street.,Dos hombres patinan en la acera de una calle tranquila.
174,There are some professionals rollerblading in a stadium and on a sidewalk by a fountain.,Hay algunos profesionales patinando en un estadio y en una acera junto a una fuente.
175,Some of them are climbing stairs with their roller blades.,Algunos de ellos están subiendo escaleras con sus patines.
176,One person dives straight into water as he comes rollerblading at high speed.,Una persona se sumerge directamente en el agua mientras patina a gran velocidad.
177,There are four young men and women rollerblading on a street with lots of trees.,Hay cuatro hombres y mujeres jóvenes patinando en una calle con muchos árboles.
178,There is a group of young children rollerblading together.,Hay un grupo de niños pequeños patinando juntos.
179,One person dives straight into water as he comes rollerblading at high speed.,Una persona se sumerge directamente en el agua mientras patina a gran velocidad.
180,Some men are rollerblading through a busy city and on bridges.,Algunos hombres patinan por una ciudad ajetreada y en puentes.
181,One man leaps over a wall while rollerblading.,Un hombre salta una pared mientras patina.
182,He hands her an iced green tea beverage and goes inside.,Le entrega una bebida de té verde helado y entra.
183,"As he checks his phone, she suddenly puts hers away.","Mientras revisa su teléfono, ella de repente guarda el suyo."
184,"Someone takes a sip, then spits it out.",Alguien toma un sorbo y luego lo escupe.
185,"Someone takes a sip, then spits it out.",Alguien toma un sorbo y luego lo escupe.
186,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain.,"Una cámara hace una panorámica alrededor de una gran colina nevada, así como a personas sentadas en un remonte y paseando por una montaña."
187,A camera pans around a large snowy hill as well as people sitting on a ski lift and riding around a mountain.,"Una cámara hace una panorámica alrededor de una gran colina nevada, así como a personas sentadas en un remonte y paseando por una montaña."
188,It is sweltering now in the greenhouse.,Ahora hace calor en el invernadero.
189,Someone makes her way from the door toward the greenhouse.,Alguien se abre camino desde la puerta hacia el invernadero.
190,Someone pushes the last crumbs of the sandwich toward someone's mouth.,Alguien empuja las últimas migajas del sándwich hacia la boca de alguien.
191,Someone eats the last bits.,Alguien se come los últimos bocados.
192,She marches over to him as the artist brushes makeup on his face.,Ella se acerca a él mientras el artista aplica maquillaje en su rostro.
193,She lustfully eyes him up and down.,Ella lo mira con lujuria de arriba abajo.
194,Someone laughs as someone heaves his wife over his shoulder and carries her away.,Alguien se ríe cuando alguien carga a su esposa sobre su hombro y se la lleva.
195,He yanks the machine from the wall.,Tira la máquina de la pared.
196,She marches over to him as the artist brushes makeup on his face.,Ella se acerca a él mientras el artista aplica maquillaje en su rostro.
197,Someone spots someone flirting with the makeup artist and holds up a finger.,Alguien ve a alguien coqueteando con el maquillador y levanta un dedo.
198,"Someone stands below, hands on her hips.","Alguien está debajo, con las manos en las caderas."
199,Someone jumps out the living room window.,Alguien salta por la ventana de la sala.
200,Someone discovers someone curled up on the floor in a closet.,Alguien descubre a alguien acurrucado en el suelo en un armario.
201,Someone discovers someone curled up on the floor in a closet.,Alguien descubre a alguien acurrucado en el suelo en un armario.
202,"In a guest house, someone tosses a bag to the floor, swigs from a can of Pepsi, and listens to an answering machine.","En una casa de huéspedes, alguien arroja una bolsa al suelo, bebe de una lata de Pepsi y escucha un contestador automático."
203,She holds him close and looks down.,Ella lo abraza y mira hacia abajo.
204,Now a girl rides her bicycle past a modest suburban home.,Ahora una niña pasa en bicicleta frente a una modesta casa suburbana.
205,"Someone closes his eyes and crosses himself, then takes off his jacket.","Alguien cierra los ojos y se persigna, luego se quita la chaqueta."
206,She climbs the tree in a hoodie and slip.,Se sube al árbol con una sudadera con capucha y se desliza.
207,"Someone closes the closet door, shutting herself in.",Alguien cierra la puerta del armario y se encierra.
208,She chases him down the stair.,Ella lo persigue por las escaleras.
209,Someone glares at her as she leaves.,Alguien la mira mientras se va.
210,He scales a tree and perches on a high branch.,Escala un árbol y se posa en una rama alta.
211,"The well - built neighbor runs out, clutching a towel around his waist.","El vecino bien formado sale corriendo, agarrándose una toalla alrededor de la cintura."
212,Her cat sits by a broken fish bowl.,Su gato se sienta junto a una pecera rota.
213,She takes out a hair clip and fluffs her shoulder - length hair with both hands.,Saca una pinza para el cabello y se esponja el cabello hasta los hombros con ambas manos.
214,She chases him down the stair.,Ella lo persigue por las escaleras.
215,He arches a brow and points to the door.,Arquea una ceja y señala la puerta.
216,Someone jumps out the living room window.,Alguien salta por la ventana de la sala.
217,"Now clothed, her neighbor smiles.","Ahora vestida, su vecina sonríe."
218,Someone glares at her as she leaves.,Alguien la mira mientras se va.
219,Someone's jaw drops into a gleeful grin.,La mandíbula de alguien cae en una sonrisa alegre.
220,Someone fumbles with the machine.,Alguien busca a tientas con la máquina.
221,"Now clothed, her neighbor smiles.","Ahora vestida, su vecina sonríe."
222,She spots a well - built man through a pair of open balcony doors as he exits a shower.,Ella ve a un hombre bien formado a través de un par de puertas de balcón abiertas cuando sale de una ducha.
223,She shifts on a branch.,Ella se mueve en una rama.
224,Someone laughs as someone heaves his wife over his shoulder and carries her away.,Alguien se ríe cuando alguien carga a su esposa sobre su hombro y se la lleva.
225,Someone follows the boy outside.,Alguien sigue al niño afuera.
226,Her neighbor strokes someone and gives a friendly smile.,Su vecina acaricia a alguien y le da una sonrisa amistosa.
227,"Someone stands below, hands on her hips.","Alguien está debajo, con las manos en las caderas."
228,"Someone closes his eyes and crosses himself, then takes off his jacket.","Alguien cierra los ojos y se persigna, luego se quita la chaqueta."
229,Someone's jaw drops into a gleeful grin.,La mandíbula de alguien cae en una sonrisa alegre.
230,She holds him close and looks down.,Ella lo abraza y mira hacia abajo.
231,Someone follows the boy outside.,Alguien sigue al niño afuera.
232,A man is kneeling down on ice.,Un hombre está arrodillado sobre el hielo.
233,He begins playing a game of curling.,Empieza a jugar a curling.
234,He begins playing a game of curling.,Empieza a jugar a curling.
235,She walks out as someone hurls someone into her luggage.,Ella sale cuando alguien arroja a alguien en su equipaje.
236,The barman rolls his eyes.,El barman pone los ojos en blanco.
237,She heads for the door.,Ella se dirige a la puerta.
238,"She approaches in horror through the brawlers, rubberneckers and flying undies.","Se acerca horrorizada a través de los alborotadores, los corpulentos y las bragas voladoras."
239,"Someone is thrown over the bar, but comes up swinging.","Alguien es arrojado por encima de la barra, pero sube balanceándose."
240,Someone looks appalled at the exhausted someone.,Alguien mira consternado al alguien exhausto.
241,She walks out as someone hurls someone into her luggage.,Ella sale cuando alguien arroja a alguien en su equipaje.
242,The brawl's in full swing as someone approaches the pub.,La pelea está en pleno apogeo cuando alguien se acerca al pub.
243,"People rush in from the door under the World's Fair mural, and head toward the main display screen; all around them, the mib staffers are in frenetic activity in response to the threat from above.","La gente entra corriendo por la puerta debajo del mural de la Feria Mundial y se dirige hacia la pantalla principal; a su alrededor, el personal del mib está en una actividad frenética en respuesta a la amenaza desde arriba."
244,"He is running from cab to cab, pounding on windows, scaring the living shit out of people.","Él está corriendo de taxi en taxi, golpeando las ventanas, asustando a la gente."
245,A man is looking at a red vase.,Un hombre está mirando un jarrón rojo.
246,A large museum is shown with several vases and pictures hanging from the wall.,Se muestra un gran museo con varios jarrones y cuadros colgados de la pared.
247,"Suddenly, the female takes off her blazer and is shown in some what of a lingerie outfit and mesmerizes the man while picking up a fencing utensil with her feet.","De repente, la mujer se quita la chaqueta y se muestra en algo parecido a un traje de lencería y hipnotiza al hombre mientras toma un utensilio de esgrima con los pies."
248,"As the 360 angle of the room stops, a man and a woman appear standing together in the room.","Cuando el ángulo de 360 ​​grados de la habitación se detiene, un hombre y una mujer aparecen juntos en la habitación."
249,A woman takes her shirt off.,Una mujer se quita la camisa.
250,A man is looking at a red vase.,Un hombre está mirando un jarrón rojo.
251,A man is looking at a red vase.,Un hombre está mirando un jarrón rojo.
252,A woman is sitting down taking a drink.,Una mujer está sentada tomando una copa.
253,People are sitting behind them on benches.,La gente está sentada detrás de ellos en bancos.
254,People are sitting behind them on benches.,La gente está sentada detrás de ellos en bancos.
255,A woman bends down and lifts a heavy weight over her head.,Una mujer se inclina y levanta un gran peso sobre su cabeza.
256,Men appear in a field with bulls and the words Bullfight Laos appear on screen.,Aparecen hombres en un campo con toros y las palabras Corrida de toros Laos aparecen en la pantalla.
257,A Caucasian man wearing a red helmet is sitting in a boat in the water talking to water.,Un hombre caucásico con un casco rojo está sentado en un bote en el agua hablando con el agua.
258,A flash of vacant water is shown then a group of ten people are pictured kayaking together over the rocks and water and eventually are pushed out the kayak by the large wave.,"Se muestra un destello de agua vacía, luego se muestra a un grupo de diez personas en kayak juntas sobre las rocas y el agua y, finalmente, son empujadas fuera del kayak por la gran ola."
259,"Now letters rain down into two boxes, spelling out a logo.","Ahora las letras caen en dos recuadros, deletreando un logotipo."
260,"Now letters rain down into two boxes, spelling out a logo.","Ahora las letras caen en dos recuadros, deletreando un logotipo."
261,He is using a large rake to rake the leaves.,Está usando un rastrillo grande para rastrillar las hojas.
262,A man is standing in his backyard.,Un hombre está parado en su patio trasero.
263,A camera pans around a yard and leads into a man raking up leaves and putting them into bags.,Una cámara recorre un patio y conduce a un hombre que rastrilla hojas y las pone en bolsas.
264,A camera pans around a yard and leads into a man raking up leaves and putting them into bags.,Una cámara recorre un patio y conduce a un hombre que rastrilla hojas y las pone en bolsas.
265,A graphic of a boy kicking a soccer ball with 3 defender is seen.,Se ve un gráfico de un niño pateando una pelota de fútbol con 3 defensores.
266,The ball is deflected by the defenders in the graphic.,El balón es desviado por los defensores en el gráfico.
267,A man in a blue polo speaks to the camera.,Un hombre con un polo azul habla a la cámara.
268,The woman does sit ups.,La mujer hace abdominales.
269,The woman does sit ups.,La mujer hace abdominales.
270,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it.,Se ve a una mujer más grande sentada en una silla mientras un hombre le limpia el labio y le pone una marca.
271,A larger woman is seen sitting on a chair while a man wipes down her lip and puts a mark onto it.,Se ve a una mujer más grande sentada en una silla mientras un hombre le limpia el labio y le pone una marca.
272,A group of cheerleaders are seen walking on stage while the audience cheers.,Se ve a un grupo de porristas caminando en el escenario mientras el público vitorea.
273,Cheerleaders come out and perform a routine on the stage.,Las animadoras salen y realizan una rutina en el escenario.
274,A crowd is cheering in front of a stage.,Una multitud está vitoreando frente a un escenario.
275,The group then begins performing a cheering routine with one another.,"Luego, el grupo comienza a realizar una rutina de vítores entre ellos."
276,The group then begins performing a cheering routine with one another.,"Luego, el grupo comienza a realizar una rutina de vítores entre ellos."
277,Someone walks out of the alley and is ready for anything.,Alguien sale del callejón y está listo para cualquier cosa.
278,"Someone slowly inserts the key into the door, quietly opening it.","Alguien inserta lentamente la llave en la puerta, abriéndola silenciosamente."
279,None of the parked cars appear out of place.,Ninguno de los autos estacionados parece fuera de lugar.
280,"His bedroom is like the rest of the apartment neat, clean and anonymous.","Su dormitorio es como el resto del apartamento ordenado, limpio y anónimo."
281,He walks through the apartment and back into the kitchen.,Atraviesa el apartamento y vuelve a la cocina.
282,He crosses the street and enters his apartment courtyard.,Cruza la calle y entra al patio de su apartamento.
283,"Someone walks into his modest kitchen, and opens the refrigerator.",Alguien entra en su modesta cocina y abre el frigorífico.
284,"Someone peers around a wall, taking in the vital information.","Alguien mira alrededor de una pared, asimilando la información vital."
285,"Basically, it looks like normal morning activity in front of someone's home.","Básicamente, parece una actividad matutina normal frente a la casa de alguien."
